,Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
242,D4nKa,DE,18,50%,2.8,2.6,4.2,9.1,5.1,326,76.7%,16.5,371,1.15,0.26,0.27,0.15,-130,-11,-499,50%,5.6%,0,2
243,DALTON,TR,10,50%,1.8,3.0,3.9,4.1,7.6,386,45.9%,20.9,536,0.9,0.37,0.13,0.14,-488,-9,-391,20%,20%,0,6
244,DANKI,MK,14,35.7%,2.8,1.9,2.4,4.6,7.4,355,48.3%,18.2,390,0.88,0.3,0.12,0.11,-108,-7,-146,7.1%,7.1%,0,3
245,DDoiV,KR,49,40.8%,3.6,1.8,2.5,7.2,5.1,309,70%,11.6,249,1.71,0.5,0.42,0.43,-90,-1,-46,30.6%,12.2%,0,1
246,DaJeung,KR,8,25%,2.2,3.4,3.8,4.9,7.9,385,62.1%,28.3,630,0.88,0.3,0.17,0.14,13,0,32,12.5%,0%,0,6
247,Daglas,PL,36,50%,3.4,2.2,3.4,9.4,5.4,331,74.7%,13.1,325,1.49,0.41,0.32,0.32,58,-0,-9,33.3%,8.3%,0,5
248,DahVys,ES,10,20%,1.9,3.1,3.9,4.4,6.0,338,67.5%,15.9,314,1.56,0.46,0.28,0.3,212,-3,-250,50%,0%,0,2
249,Dahlia,KR,25,20%,1.8,0.5,4.4,7.6,1.5,248,73%,9.7,215,3.33,1.76,0.42,0.41,-383,-6,-262,28%,24%,0,-
250,Daiky,CO,2,100%,4.6,7.0,2.5,4.5,6.5,434,71.8%,17.1,482,1.83,0.72,0.27,0.3,807,10,570,0%,0%,0,-
251,Dal,KR,47,42.6%,2.5,2.5,2.6,4.1,7.6,367,56.8%,22.2,458,0.91,0.34,0.14,0.18,-128,-5,-154,8.5%,6.4%,0,21
252,Damage,BR,18,16.7%,2.2,0.8,3.9,7.8,1.3,236,74.3%,8.6,176,3.22,1.81,0.36,0.48,-218,-10,-397,33.3%,22.2%,0,-
253,Damkex,PL,1,0%,0.3,1.0,4.0,0.0,7.2,314,25%,29.0,553,0.89,0.43,0.09,0.12,459,15,131,0%,0%,0,-
254,Dancer,PL,14,28.6%,1.9,0.6,4.9,8.6,1.0,236,72.4%,7.5,174,2.96,1.46,0.29,0.3,-96,3,-245,35.7%,28.6%,0,-
255,Dany,CZ,13,30.8%,1.9,2.8,3.6,4.2,8.2,394,70.1%,26.3,595,1.11,0.45,0.23,0.12,-118,3,110,15.4%,7.7%,0,-
256,Daption,CA,32,50%,2.7,0.8,3.4,8.4,1.2,253,65.2%,9.5,217,3.34,1.68,0.42,0.45,-157,-6,-331,9.4%,9.4%,0,1
257,Dardoch,US,22,18.2%,2.2,0.7,3.9,7.6,1.2,249,66.9%,10.0,225,2.75,1.27,0.37,0.29,-69,-3,200,31.8%,13.6%,0,1
258,DarkWings,US,26,42.3%,3.0,3.5,3.5,7.2,8.2,411,70.8%,31.5,780,1.14,0.41,0.23,0.15,53,2,-170,30.8%,15.4%,0,8
259,Darky,PT,13,30.8%,2.0,1.4,3.6,5.8,7.4,352,51.5%,20.9,474,0.88,0.41,0.09,0.07,-712,-12,-297,38.5%,15.4%,0,4
260,Dasher,KR,47,70.2%,6.0,4.7,2.0,7.4,9.1,451,74.8%,28.7,782,1.15,0.47,0.22,0.2,308,7,257,25.5%,6.4%,0,8
